"CreatedByUserName","CreatedAt","CreatedBy","UpdatedAt","UpdatedBy","DeletedAt","DeletedBy","Active","nombre_clave","codigo","descripcion","codigo_fecha","incidencia","prioridad","sub_tipo","tipo","version_codigo","protocolo","servicios","id_usuario_creacion","nombre_usuario_de_creacion","id_usuario_actualizacion","usuario_actualizo","fecha_de_creacion","fecha_de_actualizacion","status","FK_ListaServicioId","lista_servicios_ids"
"",2022-11-05 23:35:15.690,"",2022-11-05 16:38:47.098,"4ea86670-6b87-4ed7-b6f1-6a4e6c1a197e",,"",true,"10213","102",TRAUMATISMO DE CRANEO ,"2017",TRAUMATISMO DE CRANEO ,Alta,Traumaticos,Medico,V 2.33,"<p>1.¿Usted se encuentra en el lugar?</p><p>2.¿Acaba de suceder?</p><p>Capturar nombre (si lo sabe) sexo, edad del lesionado&nbsp;</p><p>3.¿Está consciente o inconsciente?</p><p>4.¿Con qué se golpeó?</p><p>5.¿Hay sangrado, es abundante?</p><p>6.¿Qué servicio médico tiene?</p><p>SI SON LESIONES PROVOCADAS</p><p>7.¿El responsable sigue en el lugar?</p><p>Capturar nombre (si lo sabe) sexo, edad, descripción</p><p>Recomendaciones: no mueva al lesionado</p><p><br></p><p>Transferir la llamada con personal especializado en caso de que no haya respuesta dirigirse a INSTRUCCIONES MÉDICAS correspondientes,&nbsp;para brindar los primeros auxilios.</p><p><br></p><p>NOTA:&nbsp;En caso de que el relator NO se encuentre en el lugar, solicitarle teléfono de alguien que pueda proporcionar mayor información.</p><p><br></p>","{""{\""nombre\"":\""CRUM\"",\""id\"":7,\""codigo\"":\""CRUM\"",\""obligatorio\"":true}"",""{\""nombre\"":\""CRUZ ROJA\"",\""id\"":8,\""codigo\"":\""CRUZ ROJA\"",\""obligatorio\"":true}"",""{\""nombre\"":\""URGE\"",\""id\"":13,\""codigo\"":\""URGE\"",\""obligatorio\"":true}""}",1,,1,,2022-11-05 23:35:15.690,2022-11-05 23:35:15.690,1,1,{}
"",2022-11-05 21:08:02.627,"",2022-11-05 14:07:42.763,"4ea86670-6b87-4ed7-b6f1-6a4e6c1a197e",,"",true,"10102","101",ACCIDENTE DE AERONAVE CON LESIONADOS ,"2017",ACCIDENTE DE AERONAVE CON LESIONADOS ,Alta,Accidentes,Medico,V 2.1,"<p>1.¿Qué tipo de accidente es? (caída de avión, mal aterrizaje, explosión, etc.)</p><p>2. ¿Usted es el afectado?&nbsp;&nbsp;</p><p>3. ¿Acaba de suceder?</p><p>4. ¿Cuántos lesionados hay?</p><p>Capturar nombre, sexo, edad, descripción&nbsp;&nbsp;&nbsp;</p><p>5.¿Están conscientes o inconscientes? (háblele o tóquelo para ver si responde.</p><p>6. ¿Hay atrapados o prensados?</p><p>7. ¿Sabe qué tipo de aeronave es? (matricula, color)</p><p>8. ¿Hay vehículos involucrados? (color y placas)</p><p>9. ¿Hay derrame de combustible?</p><p><br></p><p>Transferir la llamada con personal especializado en caso de que no haya respuesta dirigirse a INSTRUCCIONES MÉDICAS correspondientes,&nbsp;para brindar los primeros auxilios.</p><p><br></p><p>NOTA: En caso de que el relator NO se encuentre en el lugar, solicitarle teléfono de alguien que pueda proporcionar mayor información.</p>","{""{\""nombre\"":\""SEGURIDAD PÚBLICA MUNICIPAL\"",\""id\"":1,\""codigo\"":\""SPM\"",\""obligatorio\"":true}"",""{\""nombre\"":\""POLICIA VIAL \"",\""id\"":3,\""codigo\"":\""PV\"",\""obligatorio\"":true}"",""{\""nombre\"":\""CRUM\"",\""id\"":7,\""codigo\"":\""CRUM\"",\""obligatorio\"":true}"",""{\""nombre\"":\""CRUZ ROJA\"",\""id\"":8,\""codigo\"":\""CRUZ ROJA\"",\""obligatorio\"":true}"",""{\""nombre\"":\""BOMBEROS\"",\""id\"":10,\""codigo\"":\""HCB\"",\""obligatorio\"":true}"",""{\""nombre\"":\""URGE\"",\""id\"":13,\""codigo\"":\""URGE\"",\""obligatorio\"":true}"",""{\""nombre\"":\""C4\"",\""id\"":16,\""codigo\"":\""C4\"",\""obligatorio\"":true}""}",1,,1,,2022-11-05 21:08:02.627,2022-11-05 21:08:02.627,1,1,{}
"",2022-11-05 22:19:42.683,"",2022-11-05 15:19:14.546,"4ea86670-6b87-4ed7-b6f1-6a4e6c1a197e",,"",true,"10203","102",ASFIXIA ,"2017",ASFIXIA ,Alta,Traumaticos,Medico,V 2.23,"<p><strong>INSTRUCCIÓN ESPECÍFICA DE ASFIXIA:&nbsp;</strong></p><p>1.¿Qué edad tiene la persona?</p><p>2.¿Es hombre o mujer?</p><p>3.¿Con qué se está asfixiando? (comida, dulce, líquido)</p><p>4.¿Sabe si&nbsp;es alérgico? (a alguna sustancia, alimento, medicamento o animal)</p><p>5.¿Está consciente o inconsciente? (tose, se mueve o jadea)</p><p>6.¿Cuánto tiempo tiene así?</p><p>7.¿Qué coloración&nbsp;tiene su piel?</p><p><strong>TRANSFERIR LLAMADA CON PERSONAL ESPECILIAZADO, EN CASO DE QUE NO HAYA RESPUESTA:&nbsp;</strong></p><p>-¿Usted está bien, el área donde se encuentra es segura, no corre ningún riesgo? Permítame ayudarle, es importante que me proporcione la información que le voy a solicitar y esté atento a mis instrucciones.</p><p>-¿Usted o alguien presente tiene conocimientos de primeros auxilios? En caso de ser afirmativo coloque a la persona en la línea y con altavoz por favor.</p><p>-Si la persona puede toser y emitir sonidos, estimule para que siga tosiendo por medio de palmadas en la espalda.</p><p>-No le dé a beber ni a comer nada.</p><p>-Si la persona no puede hablar, toser o emitir sonidos, debido a que un&nbsp;objeto obstruye las vías de respiración, aplique maniobra de <strong>HEIMLICH. **</strong></p><p>-Realice la maniobra hasta que expulse el objeto o pierda el conocimiento.</p><p>&nbsp;<strong>&nbsp;&nbsp;a) Persona adulta</strong></p><p>&nbsp;&nbsp;&nbsp;-Colóquese detrás de la persona, rodee el abdomen con ambas manos cerrando el puño de una mano y la otra colóquela encima.</p><p>&nbsp;&nbsp;&nbsp;-Haga compresiones fuertes hacia dentro y arriba en dirección a la boca del estómago, con el fin de que la persona pueda arrojar el objeto que obstruye la vía&nbsp;&nbsp;&nbsp;&nbsp;respiratoria.</p><p>&nbsp;&nbsp;<strong>&nbsp;b) Bebé o niño de hasta 6 años</strong></p><p>&nbsp;&nbsp;&nbsp;-Colóquelo sobre su brazo sosteniéndolo de la mandíbula, inclinándolo ligeramente hacia abajo.</p><p>&nbsp;&nbsp;&nbsp;-Aplique golpes fuertes en la parte superior y central de la espalda, con elf in de que el bebé o niño pueda arrojar el objeto que obstruye la vía respiratoria.</p><p>-Continue con la maniobra hasta que expulse el objeto o quede inconsciente.&nbsp;</p><p>-Si la persona vomita, recuéstela de costado. **</p><p>-Si la persona pierde el conocimiento, recuéstela, revise la cavidad oral en búsqueda de algún objeto extraño que pueda ser retirado y reconozca ""signos de circulación.""</p><p>-Si la persona no responde y no tiene respiración o está es anormal, el reanimador y el operador interviniente 9-1-1, debe suponer que la persona ha sufrido un paro cardiorrespiratorio.</p><p><strong>-Inicie compresiones cardiacas***</strong></p><p>&nbsp;&nbsp;&nbsp;&nbsp;<strong>PERSONA ADULTA/MENOR ENTRE 1 Y 12 AÑOS&nbsp;</strong></p><p>&nbsp;&nbsp;&nbsp;&nbsp;-Colóquese de rodillas a un lado de la persona a la altura del tórax (pecho)</p><p>&nbsp;&nbsp;&nbsp;&nbsp;-Coloque&nbsp;el talón&nbsp;de una&nbsp;mano&nbsp;en el centro del pecho y la otra encima de la primera, aplique compresiones fuertes y rápidas.&nbsp;</p><p>&nbsp;&nbsp;&nbsp;&nbsp;-Verifique signos de circulación (tose, se mueve o jadea) cada 2 minutos.</p><p>&nbsp;&nbsp;&nbsp;-Si la persona recupera los signos de circulación, suspenda la maniobra, colóquela en una posición cómoda y espera el arribo del servicio médico de urgencia.</p><p>&nbsp;&nbsp;&nbsp;-En caso contrario, continúe haciendo compresiones hasta el arribo de la ambulancia.</p><p>&nbsp;&nbsp;&nbsp;<strong>&nbsp;BEBÉ RECIÉN NACIDO A UN AÑO</strong></p><p>&nbsp;&nbsp;&nbsp;-Utilice el dedo índice y medio para aplicar compresiones cardiacas, realizando compresiones rápidas en el centro del pecho.</p><p>&nbsp;&nbsp;&nbsp;-Si el bebé&nbsp;recupera los signos de circulación, suspenda la maniobra, colóquela en una posición cómoda y espera el arribo del servicio médico de urgencia.</p><p>&nbsp;&nbsp;&nbsp;-En caso contrario, continúe haciendo compresiones hasta el arribo de la ambulancia.</p><p><br></p><p><br></p><p>**El operador telefónico deberá medir el tiempo y solicitar cada dos minutos que se verifique que la persona tenga signos de circulación (tose, se mueva o jadea.)</p><p>-Cuando arroje el objeto y verifique que tenga signos de circulación, colóquela en una posición cómoda. No se separe de la persona hasta el arribo de la unidad médica.</p><p>-Si no ha recuperado signos de circulación, continúe con la maniobra hasta el arribo de la ambulancia.</p><p>-Es importante que un adulto esté todo el tiempo con la persona hasta que llegue la ambulancia.</p><p>-Coopere con las autoridades en cuanto arriben a prestarle el apoyo.</p><p>Mencione que probablemente llegue primero una patrulla al lugar y posteriormente llegará la ambulancia, cuyo servicio es gratuito.&nbsp;</p><p><br></p>","{""{\""nombre\"":\""SEGURIDAD PÚBLICA MUNICIPAL\"",\""id\"":1,\""codigo\"":\""SPM\"",\""obligatorio\"":true}"",""{\""nombre\"":\""CRUM\"",\""id\"":7,\""codigo\"":\""CRUM\"",\""obligatorio\"":true}"",""{\""nombre\"":\""CRUZ ROJA\"",\""id\"":8,\""codigo\"":\""CRUZ ROJA\"",\""obligatorio\"":true}"",""{\""nombre\"":\""URGE\"",\""id\"":13,\""codigo\"":\""URGE\"",\""obligatorio\"":true}""}",1,,1,,2022-11-05 22:19:42.683,2022-11-05 22:19:42.683,1,1,{}
"",2022-11-05 22:18:31.540,"",2022-11-05 15:18:05.858,"4ea86670-6b87-4ed7-b6f1-6a4e6c1a197e",,"",true,"10107","101",ACCIDENTE MULTIPLE CON LESIONADOS ,"2017",ACCIDENTE MULTIPLE CON LESIONADOS ,Alta,Accidentes,Medico,V 2.6,"<p>1.¿Es un choque/una volcadura/salida de camino?&nbsp;</p><p>2.¿Es usted el afectado(a)?</p><p>3.¿Acaba de suceder?</p><p>4.¿Cuántas personas lesionadas hay?</p><p>Capturar nombre (si lo sabe),sexo, edad&nbsp;&nbsp;</p><p>5.¿Están conscientes o inconscientes?</p><p>6 ¿Hay atrapados o prensados?</p><p>En caso de personas atrapadas agregar HCB</p><p>7.¿Qué vehículos son? placas y color</p><p>-Capturar placas, color</p><p>8.¿Hay derrame de combustible?</p><p><br></p><p>Transferir llamada con personal especializado, en caso de que no halla respuesta, dirigirse a instrucciones médicas correspondientes.</p><p>NOTAS:</p><p>En caso de que el relator NO se encuentre en el lugar, solicitarle teléfono de alguien que pueda proporcionar mayor información.&nbsp;</p><p><br></p>","{""{\""nombre\"":\""SEGURIDAD PÚBLICA MUNICIPAL\"",\""id\"":1,\""codigo\"":\""SPM\"",\""obligatorio\"":true}"",""{\""nombre\"":\""POLICIA VIAL \"",\""id\"":3,\""codigo\"":\""PV\"",\""obligatorio\"":true}"",""{\""nombre\"":\""CRUM\"",\""id\"":7,\""codigo\"":\""CRUM\"",\""obligatorio\"":true}"",""{\""nombre\"":\""CRUZ ROJA\"",\""id\"":8,\""codigo\"":\""CRUZ ROJA\"",\""obligatorio\"":true}"",""{\""nombre\"":\""URGE\"",\""id\"":13,\""codigo\"":\""URGE\"",\""obligatorio\"":true}""}",1,,1,,2022-11-05 22:18:31.540,2022-11-05 22:18:31.540,1,1,{}
"",2022-11-05 23:42:13.960,"",2022-11-05 16:47:13.267,"4ea86670-6b87-4ed7-b6f1-6a4e6c1a197e",,"",true,"50203","502",VEHICULO RECUPERADO,"2017",VEHICULO RECUPERADO,Baja,Abandono,Seguridad Publica,V 2.264,<p>1.¿Cuándo fue el robo del vehículo?</p><p>2.¿De qué teléfono hizo el reporte?</p><p>3.¿Qué vehículo es?</p><ul><li>Capturar placas y color&nbsp;</li></ul><p>4.¿Está el vehículo solo?</p><p>5.¿Interpuso denuncia en Fiscalía?</p><p><strong>INDICACIONES</strong>: No mover nada hasta que llegue la unidad al lugar</p><p><br></p>,"{""{\""nombre\"":\""SEGURIDAD PÚBLICA MUNICIPAL\"",\""id\"":1,\""codigo\"":\""SPM\"",\""obligatorio\"":true}"",""{\""nombre\"":\""POLICIA VIAL \"",\""id\"":3,\""codigo\"":\""PV\"",\""obligatorio\"":true}""}",1,,1,,2022-11-05 23:42:13.960,2022-11-05 23:42:13.960,1,1,{}
"",2022-11-05 21:10:25.501,"",2022-11-05 14:10:41.434,"4ea86670-6b87-4ed7-b6f1-6a4e6c1a197e",,"",true,"10108","101",ACCIDENTE MULTIPLE CON FALLECIDO ,"2017",ACCIDENTE MULTIPLE CON FALLECIDO ,Alta,Accidentes,Medico,V 2.7,"<p>1.¿Es un choque/una volcadura/salida de camino?</p><p>2.¿Es usted afectado(a)?</p><p>3.¿Acaba de suceder?</p><p>4.¿Cuántas personas fallecidas hay?</p><p>Capturar sexo,nombre (si lo sabe) edad&nbsp;&nbsp;</p><p>5.¿Qué vehículos son? placas y color</p><p>6.¿Hay derrame de combustible?</p><p>Transferir llamada con personal especializado.</p><p><br></p><p>NOTA: En caso de que el relator&nbsp;NO se encuentre en el lugar, solicitarle teléfono de alguien que pueda proporcionar mayor información.&nbsp;</p><p><br></p>","{""{\""nombre\"":\""SEGURIDAD PÚBLICA MUNICIPAL\"",\""id\"":1,\""codigo\"":\""SPM\"",\""obligatorio\"":true}"",""{\""nombre\"":\""POLICIA VIAL \"",\""id\"":3,\""codigo\"":\""PV\"",\""obligatorio\"":true}"",""{\""nombre\"":\""CRUM\"",\""id\"":7,\""codigo\"":\""CRUM\"",\""obligatorio\"":true}"",""{\""nombre\"":\""CRUZ ROJA\"",\""id\"":8,\""codigo\"":\""CRUZ ROJA\"",\""obligatorio\"":true}"",""{\""nombre\"":\""BOMBEROS\"",\""id\"":10,\""codigo\"":\""HCB\"",\""obligatorio\"":true}"",""{\""nombre\"":\""URGE\"",\""id\"":13,\""codigo\"":\""URGE\"",\""obligatorio\"":true}"",""{\""nombre\"":\""C4\"",\""id\"":16,\""codigo\"":\""C4\"",\""obligatorio\"":true}""}",1,,1,,2022-11-05 21:10:25.501,2022-11-05 21:10:25.501,1,1,{}
"",2022-11-06 00:10:23.233,"",2022-11-05 17:10:34.870,"4ea86670-6b87-4ed7-b6f1-6a4e6c1a197e",,"",true,"50102","501",TENTATIVA DE ROBO,"2017",TENTATIVA DE ROBO,Media,Proteccion,Asistencia,V 2.255,"<p>1.¿A qué hora sucedió?</p><p>2.¿Qué intentaron robar?</p><p>3.¿Conoce a la persona que intentó robar?</p><p>4.¿Cuántas personas son?</p><p>-Capturar sexo, nombre, edad, descripción</p><p>5.¿Utilizaron algún vehículo?</p><p>-Capturar placas, color</p><p>6.¿Hacia donde huyeron?</p>","{""{\""nombre\"":\""SEGURIDAD PÚBLICA MUNICIPAL\"",\""id\"":1,\""codigo\"":\""SPM\"",\""obligatorio\"":true}"",""{\""nombre\"":\""POLICIA VIAL \"",\""id\"":3,\""codigo\"":\""PV\"",\""obligatorio\"":true}""}",1,,1,,2022-11-06 00:10:23.233,2022-11-06 00:10:23.233,1,1,{}
"",2022-11-06 00:34:52.340,"",2022-11-05 17:37:30.418,"4ea86670-6b87-4ed7-b6f1-6a4e6c1a197e",,"",true,"30909","309",AGRESION FISICA EN PANDILLA ,"2017",AGRESION FISICA EN PANDILLA ,Alta,Actos Relacionados con la vida y la integridad personal,Seguridad Publica,V 2.214,"<p>1.¿Está sucediendo en este momento?&nbsp;&nbsp;&nbsp;&nbsp;</p><p>2.¿Es usted el afectado o esta vieno de retirado?</p><p>3.¿Cuántos responsables son?</p><p>-Capturar sexo, edad , descripción</p><p>4.¿Están ebrios drogados?</p><p>5.¿Están armados?</p><p>Tipo de armas&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p><p>6.¿Tienen algún vehículo?&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</p><p>Capturar placas, color, hacia donde huyó</p><p><br></p>","{""{\""nombre\"":\""SEGURIDAD PÚBLICA MUNICIPAL\"",\""id\"":1,\""codigo\"":\""SPM\"",\""obligatorio\"":true}"",""{\""nombre\"":\""POLICIA VIAL \"",\""id\"":3,\""codigo\"":\""PV\"",\""obligatorio\"":true}""}",1,,1,,2022-11-06 00:34:52.340,2022-11-06 00:34:52.340,1,1,{}
"",2022-11-05 22:12:26.620,"",2022-11-05 15:12:17.997,"4ea86670-6b87-4ed7-b6f1-6a4e6c1a197e",,"",true,"20105","201",FUGAS Y DERRAMES EN ESCUELA,"2017",FUGAS Y DERRAMES EN ESCUELA,Alta,Auxilio,Proteccion civil,V 2.64,"<p>1.¿Cuál es el nombre de la escuela?</p><p>2.¿Percibe algún olor o es derrame de alguna sustancia?</p><p>3.¿Hay alumnos o maestros dentro del plantel?</p><p>4.¿Están evacuando el área?</p><p>5.¿Hay personas o domicilios&nbsp;cerca del lugar?</p><p>6.¿Sabe si ya están evacuando el área?</p><p><br></p><p><strong>SI ES FUGA DE GAS:</strong></p><p>-.¿Es ECOGAS o gas L.P.?</p><p><br></p><p><strong>SI ES DE UN TANQUE&nbsp;</strong></p><p>-¿De qué capacidad es?</p><p><br></p><p><strong>SI ES DERRAME&nbsp;</strong></p><p>-¿Alcanza a ver algún símbolo, (rombo de seguridad) color o número de identificación del material o sustancia)?</p><p>-¿Aproximadamente que cantidad de material esta derramado?</p><p>-¿Alcanza a ver humo o algún vapor?&nbsp;</p><p>-¿Escucha algún&nbsp;sonido inusual?</p><p><br></p><p>SI HABLAN DE ALGUNA COMPAÑIA PREGUNTAR SI EL MATERIAL HA SIDO AISLADO</p><p><br></p><p>Recomendaciones: retírese por favor del lugar a 2 o 3 cuadras de distancia, si observa cualquier tipo de humo vaya al lado contrario de la corriente del aire, si ve personas lesionadas no intente ayudarlas.</p>","{""{\""nombre\"":\""SEGURIDAD PÚBLICA MUNICIPAL\"",\""id\"":1,\""codigo\"":\""SPM\"",\""obligatorio\"":true}"",""{\""nombre\"":\""POLICIA VIAL \"",\""id\"":3,\""codigo\"":\""PV\"",\""obligatorio\"":true}"",""{\""nombre\"":\""C4\"",\""id\"":16,\""codigo\"":\""C4\"",\""obligatorio\"":true}""}",1,,1,,2022-11-05 22:12:26.620,2022-11-05 22:12:26.620,1,1,{}
admin,2022-11-04 17:09:40.825,"4ea86670-6b87-4ed7-b6f1-6a4e6c1a197e",2022-11-05 16:48:36.270,"4ea86670-6b87-4ed7-b6f1-6a4e6c1a197e",,"",true,"111111","111",INCIDENCIA CAMARGO,"2022-11-04",INCIDENCIA CAMARGO,Urgente,Apoyo,Asistencia,V1,<p>1Ç2</p><p>3</p><p>2</p>,"{""{\""nombre\"":\""SEGURIDAD PÚBLICA MUNICIPAL\"",\""id\"":1,\""codigo\"":\""SPM\"",\""obligatorio\"":true}"",""{\""nombre\"":\""SEGURIDAD PÚBLICA ESTATAL\"",\""id\"":2,\""codigo\"":\""SPE\"",\""obligatorio\"":true}"",""{\""nombre\"":\""GUARDIA NACIONAL\"",\""id\"":4,\""codigo\"":\""GN\"",\""obligatorio\"":true}"",""{\""nombre\"":\""CRUZ ROJA\"",\""id\"":8,\""codigo\"":\""CRUZ ROJA\"",\""obligatorio\"":true}""}",1,"",1,"",2022-11-05 00:08:29.065,2022-11-05 00:08:29.065,-1,1,{}
